City,Total Events,Unique Events,
"lviv, ukraine",107,67,174
Russian Federation,91,82,173
"charlotte, north carolina",95,78,173
"cluj, romania",107,66,173
"strasbourg, france",113,60,173
"karachi, pakistan",114,57,171
France,89,80,169
"leipzig, germany",100,69,169
"sacramento, california",93,75,168
"milwaukee, wisconsin",99,68,167
"reykjavik, iceland",106,61,167
"salt lake city, utah",96,69,165
"leeds, england",97,67,164
"kabul, afghanistan",98,66,164
"san juan, puerto rico",103,61,164
"raleigh, north carolina",95,68,163
"Los Angeles, California",98,65,163
"jeddah, saudi arabia",109,54,163
"Shanghai, China",111,52,163
"kyoto, japan",90,72,162
"richmond, virginia",97,65,162
"southampton, england",107,55,162
"Berlin, Germany",105,56,161
"christchurch, new zealand",98,62,160
"quito, ecuador",99,59,158
"seville, spain",94,63,157
"islamabad, pakistan",89,66,155
"zagreb, croatia",97,58,155
"louisville, kentucky",90,64,154
"damascus, syria",95,59,154
"bilbao, spain",102,52,154
"newcastle, england",90,62,152
"quebec, canada",97,55,152
"hampton roads, virginia",100,52,152
"tucson, arizona",90,61,151
"Hong Kong, China",104,47,151
"porto alegre, brazil",98,51,149
"dar es salaam, tanzania",91,56,147
"indianapolis, indiana",91,56,147
"odessa, ukraine",93,53,146
"donetsk, ukraine",91,51,142
trinidad tobago,93,46,139
"Istanbul, Turkey",97,40,137
"luanda, angola",95,35,130
